Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CuraAndDb,Chrome 119.0.0.0,,,2023-11-27 19:12:52,2023-11-27 19:13:59,1m - 7.493s,PASSED
,,,,,,,
Test Cases/CompanySearchDB,Chrome 119.0.0.0,,,2023-11-27 19:12:52,2023-11-27 19:13:14,21.625s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 19:12:52,2023-11-27 19:12:55,2.532s,PASSED
"navigateToUrl(""https://computer-database.gatling.io/computers"")",Chrome 119.0.0.0,,,2023-11-27 19:12:55,2023-11-27 19:12:57,2.311s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 19:12:57,2023-11-27 19:12:57,0.161s,PASSED
"setText(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_Computer database_f""), ""HP"")",Chrome 119.0.0.0,,,2023-11-27 19:12:57,2023-11-27 19:12:58,0.992s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_Computer database_searchsubmit""))",Chrome 119.0.0.0,,,2023-11-27 19:12:58,2023-11-27 19:12:59,0.828s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/a_HP 2133 Mini-Note PC""))",Chrome 119.0.0.0,,,2023-11-27 19:12:59,2023-11-27 19:13:01,1.812s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""21"", true)",Chrome 119.0.0.0,,,2023-11-27 19:13:01,2023-11-27 19:13:04,3.142s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""26"", true)",Chrome 119.0.0.0,,,2023-11-27 19:13:04,2023-11-27 19:13:07,3.231s,PASSED
