Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1014"", true)",Chrome 119.0.0.0,,,2023-11-27 18:48:50,2023-11-27 18:48:52,2.087s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1015"", true)",Chrome 119.0.0.0,,,2023-11-27 18:48:52,2023-11-27 18:48:54,1.390s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-27 18:48:54,2023-11-27 18:48:54,0.656s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-27 18:48:54,2023-11-27 18:48:56,1.483s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 18:48:56,2023-11-27 18:48:56,0.544s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:48:56,2023-11-27 18:48:57,0.863s,PASSED
,,,,,,,
Test Cases/CustomerRonLogin,Chrome 119.0.0.0,,,2023-11-27 18:48:57,2023-11-27 18:49:14,16.603s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:48:58,2023-11-27 18:48:59,1.294s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 18:48:59,2023-11-27 18:49:01,1.657s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:49:01,2023-11-27 18:49:01,0.153s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 18:49:01,2023-11-27 18:49:02,1.234s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""3"", true)",Chrome 119.0.0.0,,,2023-11-27 18:49:02,2023-11-27 18:49:04,1.923s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 18:49:04,2023-11-27 18:49:05,0.544s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdrawl""))",Chrome 119.0.0.0,,,2023-11-27 18:49:05,2023-11-27 18:49:07,1.774s,PASSED
