Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-27 19:09:32,2023-11-27 19:11:43,2m - 11.165s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-27 19:09:33,2023-11-27 19:10:07,34.354s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 19:09:33,2023-11-27 19:09:36,2.819s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 19:09:36,2023-11-27 19:09:40,4.392s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 19:09:40,2023-11-27 19:09:40,0.178s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 19:09:40,2023-11-27 19:09:55,14.767s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-27 19:09:55,2023-11-27 19:09:58,2.625s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 19:09:58,2023-11-27 19:09:58,0.516s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-27 19:09:58,2023-11-27 19:10:01,2.252s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-27 19:10:01,2023-11-27 19:10:01,0.607s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-27 19:10:01,2023-11-27 19:10:05,3.633s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-27 19:10:05,2023-11-27 19:10:05,0.549s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 19:10:05,2023-11-27 19:10:06,0.548s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 19:10:06,2023-11-27 19:10:07,0.929s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-27 19:10:07,2023-11-27 19:10:20,13.231s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 19:10:08,2023-11-27 19:10:09,1.342s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 19:10:09,2023-11-27 19:10:11,2.168s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 19:10:11,2023-11-27 19:10:11,0.161s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 19:10:11,2023-11-27 19:10:13,1.161s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:13,2023-11-27 19:10:14,1.826s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 19:10:14,2023-11-27 19:10:15,0.408s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_100410051006""), ""number:1005"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:15,2023-11-27 19:10:17,1.779s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-27 19:10:17,2023-11-27 19:10:17,0.504s,PASSED
"setText(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""1500"")",Chrome 119.0.0.0,,,2023-11-27 19:10:17,2023-11-27 19:10:18,1.313s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-27 19:10:18,2023-11-27 19:10:19,0.446s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-27 19:10:19,2023-11-27 19:10:19,0.563s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 19:10:19,2023-11-27 19:10:20,0.770s,PASSED
,,,,,,,
Test Cases/CustomerNevilleLogin,Chrome 119.0.0.0,,,2023-11-27 19:10:20,2023-11-27 19:10:38,17.784s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 19:10:20,2023-11-27 19:10:22,1.228s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 19:10:22,2023-11-27 19:10:26,3.937s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 19:10:26,2023-11-27 19:10:26,0.137s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 19:10:26,2023-11-27 19:10:28,1.745s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""5"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:28,2023-11-27 19:10:31,3.064s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 19:10:31,2023-11-27 19:10:31,0.449s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1014"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:31,2023-11-27 19:10:33,1.961s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1015"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:33,2023-11-27 19:10:34,1.373s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-27 19:10:34,2023-11-27 19:10:35,0.583s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-27 19:10:35,2023-11-27 19:10:36,1.495s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 19:10:36,2023-11-27 19:10:37,0.576s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 19:10:37,2023-11-27 19:10:38,0.891s,PASSED
,,,,,,,
Test Cases/CustomerRonLogin,Chrome 119.0.0.0,,,2023-11-27 19:10:38,2023-11-27 19:10:56,17.671s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 19:10:39,2023-11-27 19:10:40,1.219s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 19:10:40,2023-11-27 19:10:43,2.962s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 19:10:43,2023-11-27 19:10:43,0.164s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 19:10:43,2023-11-27 19:10:44,1.054s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""3"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:44,2023-11-27 19:10:47,2.762s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 19:10:47,2023-11-27 19:10:47,0.462s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdrawl""))",Chrome 119.0.0.0,,,2023-11-27 19:10:47,2023-11-27 19:10:48,1.001s,PASSED
"setText(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/input_Amount to be Withdrawn_form-control n_bccfe0""), ""1000"")",Chrome 119.0.0.0,,,2023-11-27 19:10:48,2023-11-27 19:10:50,1.986s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdraw""))",Chrome 119.0.0.0,,,2023-11-27 19:10:50,2023-11-27 19:10:51,0.450s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/span_Transaction Failed. You can not withdr_4b9636""))",Chrome 119.0.0.0,,,2023-11-27 19:10:51,2023-11-27 19:10:51,0.563s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_100710081009""), ""number:1008"", true)",Chrome 119.0.0.0,,,2023-11-27 19:10:51,2023-11-27 19:10:53,1.292s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-27 19:10:53,2023-11-27 19:10:53,0.529s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Back""))",Chrome 119.0.0.0,,,2023-11-27 19:10:53,2023-11-27 19:10:54,1.038s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 19:10:54,2023-11-27 19:10:55,0.549s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 19:10:55,2023-11-27 19:10:56,0.841s,PASSED
,,,,,,,
Test Cases/CustomerSearchManager,Chrome 119.0.0.0,,,2023-11-27 19:10:56,2023-11-27 19:11:07,11.536s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 19:10:56,2023-11-27 19:10:58,1.319s,PASSED
