Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-27 18:19:07,2023-11-27 18:21:08,2m - 1.320s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-27 18:19:07,2023-11-27 18:19:27,20.235s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:19:07,2023-11-27 18:19:12,4.744s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 18:19:12,2023-11-27 18:19:16,3.509s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:19:16,2023-11-27 18:19:16,0.172s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 18:19:16,2023-11-27 18:19:18,2.275s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-27 18:19:18,2023-11-27 18:19:20,2.140s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 18:19:20,2023-11-27 18:19:21,0.600s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-27 18:19:21,2023-11-27 18:19:23,2.090s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-27 18:19:23,2023-11-27 18:19:23,0.546s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-27 18:19:23,2023-11-27 18:19:25,1.661s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-27 18:19:25,2023-11-27 18:19:26,0.551s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 18:19:26,2023-11-27 18:19:26,0.594s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:19:26,2023-11-27 18:19:27,0.895s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-27 18:19:27,2023-11-27 18:19:44,16.774s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:19:28,2023-11-27 18:19:29,1.342s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 18:19:29,2023-11-27 18:19:32,2.661s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:19:32,2023-11-27 18:19:32,0.144s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 18:19:32,2023-11-27 18:19:34,2.204s,PASSED
