Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CuraAndDb,Chrome 119.0.0.0,,,2023-11-27 17:45:12,2023-11-27 17:46:29,1m - 17.111s,FAILED
,,,,,,,
Test Cases/CompanySearchDB,Chrome 119.0.0.0,,,2023-11-27 17:45:12,2023-11-27 17:45:27,15.618s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 17:45:12,2023-11-27 17:45:15,2.457s,PASSED
"navigateToUrl(""https://computer-database.gatling.io/computers"")",Chrome 119.0.0.0,,,2023-11-27 17:45:15,2023-11-27 17:45:17,2.030s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 17:45:17,2023-11-27 17:45:17,0.152s,PASSED
"setText(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_Computer database_f""), ""HP"")",Chrome 119.0.0.0,,,2023-11-27 17:45:17,2023-11-27 17:45:18,0.727s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_Computer database_searchsubmit""))",Chrome 119.0.0.0,,,2023-11-27 17:45:18,2023-11-27 17:45:18,0.698s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/a_HP 2133 Mini-Note PC""))",Chrome 119.0.0.0,,,2023-11-27 17:45:18,2023-11-27 17:45:20,1.705s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""21"", true)",Chrome 119.0.0.0,,,2023-11-27 17:45:20,2023-11-27 17:45:22,2.051s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""26"", true)",Chrome 119.0.0.0,,,2023-11-27 17:45:22,2023-11-27 17:45:24,2.097s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_or_btn primary""))",Chrome 119.0.0.0,,,2023-11-27 17:45:24,2023-11-27 17:45:25,1.365s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/a_Computer database""))",Chrome 119.0.0.0,,,2023-11-27 17:45:25,2023-11-27 17:45:27,1.265s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 17:45:27,2023-11-27 17:45:27,0.730s,PASSED
,,,,,,,
Test Cases/CuraHealthLogin,Chrome 119.0.0.0,,,2023-11-27 17:45:27,2023-11-27 17:45:39,11.501s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 17:45:28,2023-11-27 17:45:29,1.375s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 119.0.0.0,,,2023-11-27 17:45:29,2023-11-27 17:45:34,4.096s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 17:45:34,2023-11-27 17:45:34,0.134s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 119.0.0.0,,,2023-11-27 17:45:34,2023-11-27 17:45:34,0.380s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/a_Login""))",Chrome 119.0.0.0,,,2023-11-27 17:45:34,2023-11-27 17:45:35,1.298s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 119.0.0.0,,,2023-11-27 17:45:35,2023-11-27 17:45:36,0.361s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 119.0.0.0,,,2023-11-27 17:45:36,2023-11-27 17:45:36,0.377s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 17:45:36,2023-11-27 17:45:37,1.028s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Chrome 119.0.0.0,,,2023-11-27 17:45:37,2023-11-27 17:45:38,0.575s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 119.0.0.0,,,2023-11-27 17:45:38,2023-11-27 17:45:38,0.340s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/a_Home""))",Chrome 119.0.0.0,,,2023-11-27 17:45:38,2023-11-27 17:45:39,0.995s,PASSED
,,,,,,,
Test Cases/LaptopSearchDB,Chrome 119.0.0.0,,,2023-11-27 17:46:09,2023-11-27 17:46:19,10.200s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 17:46:09,2023-11-27 17:46:11,1.954s,PASSED
"navigateToUrl(""https://computer-database.gatling.io/computers"")",Chrome 119.0.0.0,,,2023-11-27 17:46:11,2023-11-27 17:46:13,1.356s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 17:46:13,2023-11-27 17:46:13,0.126s,PASSED
"setText(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/input_Computer database_f""), ""Del"")",Chrome 119.0.0.0,,,2023-11-27 17:46:13,2023-11-27 17:46:13,0.686s,PASSED
"click(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/input_Computer database_searchsubmit""))",Chrome 119.0.0.0,,,2023-11-27 17:46:13,2023-11-27 17:46:15,1.784s,PASSED
"click(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/a_Dell Inspiron 560 Desktop Computer""))",Chrome 119.0.0.0,,,2023-11-27 17:46:15,2023-11-27 17:46:16,1.008s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""13"", true)",Chrome 119.0.0.0,,,2023-11-27 17:46:16,2023-11-27 17:46:18,1.849s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""-- Choose a company --"", true)",Chrome 119.0.0.0,,,2023-11-27 17:46:18,2023-11-27 17:46:19,1.437s,FAILED
,,,,,,,
Test Cases/LoginApplitools,Chrome 119.0.0.0,,,2023-11-27 17:46:19,2023-11-27 17:46:29,9.252s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 17:46:20,2023-11-27 17:46:22,2.007s,PASSED
"navigateToUrl(""https://demo.applitools.com/"")",Chrome 119.0.0.0,,,2023-11-27 17:46:22,2023-11-27 17:46:24,2.473s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 17:46:24,2023-11-27 17:46:24,0.142s,PASSED
"setText(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME Demo App by Applitools/input_Username_username""), ""Test123"")",Chrome 119.0.0.0,,,2023-11-27 17:46:24,2023-11-27 17:46:25,0.737s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME Demo App by Applitools/input_Password_password""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 119.0.0.0,,,2023-11-27 17:46:25,2023-11-27 17:46:26,0.497s,PASSED
"click(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME Demo App by Applitools/a_Sign in""))",Chrome 119.0.0.0,,,2023-11-27 17:46:26,2023-11-27 17:46:26,0.850s,PASSED
"setText(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME demo app/input_text""), ""Starbucks"")",Chrome 119.0.0.0,,,2023-11-27 17:46:26,2023-11-27 17:46:27,0.710s,PASSED
"sendKeys(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME demo app/input_text""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-27 17:46:27,2023-11-27 17:46:28,0.418s,PASSED
"click(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME demo app/span_View Statement""))",Chrome 119.0.0.0,,,2023-11-27 17:46:28,2023-11-27 17:46:28,0.365s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 17:46:28,2023-11-27 17:46:29,0.753s,PASSED
